m30,BTR,FET,FDT,SHR,GRS,CRP
61691,0,0,0,2.993,24.432,1.39
61692,0,0.002,0,3.517,28.919,1.659
61693,0,0.011,0,4.332,36.018,2.064
61694,0,0.006,0,3.161,25.002,1.41
61695,0,0,0,3.128,23.613,1.292
61696,0,0,0,3.621,29.873,1.664
61697,0,0,0,4.259,35.601,2.074
61698,0,0.004,0,3.519,29.285,1.695
61699,0,0.002,0,4.303,35.824,2.061
61700,0,0.004,0,4.823,40.349,2.419
61701,0,0.006,0,4.437,37.196,2.211
61702,0,0.074,0,5.268,44.37,2.757
61703,0,0.029,0,5.048,42.727,2.607
61704,0,0.041,0,5.104,43.259,2.641
61705,0,0.062,0,5.104,42.333,2.55
61706,0,0.02,0,5.497,42.692,2.614
61707,0,0.001,0,4.626,37.888,2.209
61708,0,0,0,3.628,29.541,1.63
61709,0,0,0,3.247,26.08,1.457
61710,0,0.002,0,3.559,28.025,1.603
61711,0,0,0,3.576,21.686,1.293
61712,0,0.016,0,3.093,17.896,1.121
61713,0,0.013,0,2.792,21.594,2.136
61714,0,0.003,0,3.359,26.929,2.54
61715,0,0.001,0,3.428,27.909,1.591
61716,0,0.001,0,3.355,27.38,1.549
61717,0,0.001,0,3.637,27.841,1.61
61718,0,0.001,0,3.169,24.004,1.361
61719,0,0.084,0,4.759,37.379,3.23
61720,0,0.557,0,6.113,47.266,5.178
61721,0,0.247,0,6.389,51.101,3.706
61722,0.001,1.705,0,8.349,39.641,22.128
61723,0.057,3.438,0.042,9.229,37.263,32.414
61724,0.085,3.401,0.057,12.127,44.259,22.427
61725,0.125,3.349,0.081,12.822,46.573,17.626
61726,0.111,2.638,0.064,10.065,46.766,17.581
61727,0.282,3.112,0.149,13.71,51.754,10.151
61728,0.007,1.941,0.004,10.259,46.892,10.177
61729,0.023,2.697,0.018,6.853,38.517,22.687
61730,0.617,5.426,0.422,11.237,38.796,22.142
61731,0.368,6.849,0.281,19.216,30.472,16.932
61732,0.086,2.437,0.066,11.479,38.562,9.326
61733,0.031,1.228,0.02,10.029,34.034,7.214
61734,0,0.074,0,6.699,15.931,1.114
61735,0,0.35,0,2.853,14.188,1.777
61736,0,0.795,0,9.588,35.749,3.913
61737,0.001,0.566,0,5.239,28.169,3.307
61738,0,0.03,0,4.064,29.432,1.724
61739,0.036,3.061,0.027,14.358,38.397,3.919
61740,0.111,6.92,0.079,23.972,39.917,5.071
61741,0.083,5.432,0.06,30.844,23.25,2.858
61742,0,0.44,0,16.878,20.253,1.831
61743,0,0.335,0,12.854,24.424,1.897
61744,0,0.023,0,3.663,7.541,0.546
61745,0,0.032,0,2.471,4.07,0.299
61746,0,0.194,0,6.935,10.302,0.92
61747,0,0.045,0,2.349,4.68,0.341
61748,0,0.002,0,0.134,0.286,0.018
61749,0,0,0,0.001,0.002,0
61750,0,0,0,0.029,0.059,0.003
61751,0,0.001,0,0.538,1.854,0.106
61752,0,0.01,0,1.509,5.538,0.331
61753,0,0.047,0,2.982,15.154,0.941
61754,0,0.761,0,9.637,40.687,3.176
61755,0.004,1.24,0.004,18.191,39.623,3.593
61756,0,0.578,0,14.867,39.649,3.187
61757,0,0.522,0,18.235,36.818,2.94
61758,0,0.337,0,10.948,41.94,2.853
61759,0,0.558,0,11.184,42.295,2.858
61760,0,0.977,0,16.033,44.548,3.468
61761,0.09,2.168,0.074,17.886,42.287,3.769
61762,0.668,6.155,0.481,18.616,43.981,6.055
61763,2.551,11.586,1.686,20.156,38.919,8.587
61764,3.665,7.978,2.212,16.561,45.672,8.076
61765,2.115,4.628,1.203,10.585,52.463,7.162
61766,1.163,3.576,0.766,10.056,51.503,4.537
61767,0,0.761,0,6.746,49.901,3.441
61768,0.007,0.645,0.006,6.147,48.224,3.219
61769,0.005,1.221,0.004,7.395,55.645,3.548
61770,0,0.672,0,6.446,52.549,3.175
61771,0,0.371,0,5.971,49.422,3.004
61772,0,0.417,0,6.38,50.591,3.183
61773,0,0.332,0,6.137,49.837,2.988
61774,0,0.423,0,6.171,48.832,2.921
61775,0,0.13,0,5.417,45.362,2.799
61776,0,0.187,0,5.655,47.132,2.869
61777,0,0.165,0,5.494,45.594,2.761
61778,0.002,0.52,0.001,6.353,48.531,3.187
61779,0.001,0.384,0.001,5.822,48.026,3.124
61780,0,0.123,0,5.062,42.408,2.585
61781,0,0.105,0,4.645,38.848,2.497
