m30,BTR1,FET1,FDT1,SHR1,GRS1,CRP1,AVE1
17674,128,765,8,4873,871,12,24.3
17675,128,765,8,6412,1129,12,36.2
17676,128,765,8,6412,1129,12,21.9
17677,128,765,8,6412,1129,12,6.2
17682,128,739,8,5771,927,12,109.2
17683,128,739,8,5258,969,12,393.8
17684,128,739,8,6155,1111,12,434.5
17685,128,765,8,6412,1129,12,217.9
17686,128,765,8,6412,1129,12,723.8
17687,128,714,8,4616,885,12,127
17688,128,25,8,3975,734,12,0.4
17824,128,25,8,0,0,12,0
17825,128,25,8,0,0,12,0
17840,128,765,8,6412,1129,12,95.7
17841,128,25,8,6412,1129,12,6.7
17846,128,765,8,6412,1129,12,30.2
17847,128,765,8,6412,1129,12,360.7
17848,128,765,8,6412,1129,12,393.9
17849,128,765,8,6412,1129,12,267.5
17850,128,25,8,6412,1129,12,14.7
17851,128,25,8,6412,1129,12,64.9
17852,128,25,8,6412,1129,12,50.9
18121,128,25,8,11156,1129,4,0.6
18122,128,25,8,11156,1129,12,10.1
18125,128,25,8,11156,1129,4,1
18126,128,25,8,11156,1129,4,3
18127,128,25,8,11156,1129,12,76.8
18128,128,6373,8,10900,1120,12,197.1
18133,128,25,8,11156,5,4,0.1
18135,128,25,8,10387,1078,12,20.2
18136,128,25,8,11156,1129,12,1.5
18137,128,25,8,11156,1129,4,0.5
18138,128,25,8,11156,1129,12,3.6
18149,128,25,8,11028,1092,12,20.4
18150,128,25,8,11156,1129,12,18.6
18151,128,25,8,11156,1129,12,6.4
18152,128,25,8,11156,1129,12,7
18153,128,25,8,11156,1129,12,2.9
18169,128,25,8,11156,1129,4,0.6
18170,128,25,8,11156,1129,12,19.4
18171,128,25,8,11156,1129,12,6.9
18172,128,25,8,11156,1129,4,7
18178,128,25,8,11156,1125,12,31.8
18179,128,25,8,11156,1129,12,36.4
18180,128,25,8,11156,1129,12,31.2
18181,128,25,8,11156,1129,12,107.5
18183,128,25,8,11156,1129,4,0.4
18184,128,25,8,11156,1129,12,29.5
18185,128,25,8,11156,1129,12,121.1
18186,128,6373,8,11156,1129,12,138
18187,128,25,8,11156,1129,12,40.4
18188,128,6373,8,11156,1129,12,133.5
18189,128,4843,8,11156,1125,12,244.8
18190,128,6373,8,11156,1129,12,303.6
18191,128,25,8,11156,1129,12,243
18192,128,6373,8,11156,1129,12,637.5
18193,128,6373,8,11156,1129,12,415.4
18194,128,6373,8,11156,1129,12,417.6
18195,128,6373,8,11156,1129,12,268.9
18196,128,25,8,11156,1129,12,65.1
18197,128,25,8,11156,1129,12,26.4
18198,128,25,8,11156,1129,4,0.5
18199,128,25,8,0,0,4,0
18215,128,153,8,0,0,12,0
18216,128,153,8,10131,998,12,21.4
18217,128,51,8,11156,1129,12,15.3
18218,128,153,8,10772,1125,12,10.6
18219,128,76,8,11156,1129,12,4.1
18221,128,25,8,11156,1129,4,0.1
18222,128,76,8,9618,1106,12,8.3
18223,128,76,8,11156,1129,12,9.1
18224,128,153,8,11156,1129,12,25.5
18225,128,153,8,10900,1125,12,39.7
18226,128,153,8,10772,1120,12,146.8
18227,128,127,8,11028,1111,12,325.9
18228,128,102,8,10131,998,12,125.2
18229,128,51,8,11156,1129,12,40
18230,128,0,8,128,5,4,0
18314,128,0,8,128,5,4,0
18317,128,153,8,11156,1129,12,497
18318,128,153,8,11156,1129,12,401.9
18319,128,153,8,11156,1129,12,220.4
18320,128,127,8,11028,1125,12,227.8
18321,128,153,8,11156,1129,12,222.4
18322,128,25,8,11156,1129,12,124
18323,128,25,8,11156,1129,12,2.6
18324,128,25,8,11156,1129,12,6.5
18388,128,76,8,5258,781,12,8.4
18389,128,739,8,6412,1125,12,334.2
18390,128,765,8,6412,1129,12,67.5
18391,128,229,8,5129,951,12,64.7
18392,128,765,8,6412,1129,12,12.7
18393,128,25,8,6412,1129,12,1.3
18402,128,25,8,4232,871,12,6
18403,128,25,8,6412,1129,12,51.3
18405,128,25,8,1282,212,12,2.9
18406,128,765,8,6155,1064,12,207.3
18407,128,25,8,4616,1012,12,50.4
18525,128,25,8,0,0,12,0
18538,128,25,8,5386,1045,12,13
18539,128,25,8,4104,781,12,117.2
18540,128,765,8,4104,899,12,45.6
18552,128,25,8,1539,447,12,7.4
18553,128,25,8,5514,984,12,77.5
18554,128,25,8,385,42,12,0.2
18563,128,0,8,1667,306,12,41.1
18564,128,765,8,5899,1049,12,927.7
18565,128,765,8,6412,1125,12,1686.1
18566,128,765,8,6284,1115,12,1778.8
18567,128,765,8,6412,1129,12,1151.7
18568,128,765,8,6412,1129,12,1003.4
18569,128,765,8,6412,1120,12,717.4
18570,128,765,8,6155,1101,12,792.2
18571,128,739,8,5771,1035,12,731.3
18572,128,765,8,5258,946,12,265
18573,128,765,8,6284,1026,12,146.5
18574,128,25,8,5642,842,12,15.1
18575,128,25,8,0,0,4,0
18576,128,25,8,6412,1129,12,1.1
18838,128,25,8,11156,1129,12,33.5
18839,128,6373,8,11156,1129,12,448.1
18840,128,6373,8,11156,1129,12,589.5
18841,128,6373,8,11156,1129,12,228.5
18842,128,6373,8,11156,1129,12,319
18843,128,25,8,11028,1125,12,82.8
18844,128,6373,8,11028,1125,12,64.1
18845,128,6373,8,11156,1125,12,545.1
18846,128,6373,8,11156,1129,12,1182.5
18847,128,6373,8,11156,1129,12,739
18848,128,6373,8,11156,1129,12,426.1
18849,128,25,8,11156,1129,12,121.2
18851,128,6322,8,11028,1120,12,318
18852,128,6373,8,11156,1129,12,476.3
18853,128,6373,8,11156,1129,12,136.5
18861,128,25,8,11156,1129,12,30.1
18862,128,25,8,11156,1129,12,35.4
18863,128,6373,8,11156,1129,12,72.5
18871,128,25,8,11156,1129,12,4.8
18872,128,25,8,11156,1129,12,31.4
18873,128,25,8,11156,1129,12,11.6
18878,128,25,8,11156,1129,12,4.3
18879,128,25,8,4360,889,12,1.8
18880,128,25,8,11156,1129,4,0.3
18892,128,25,8,11156,1129,12,12.6
18893,128,6373,8,11156,1129,12,28.2
18894,128,6373,8,11156,1129,12,125.4
18895,128,25,8,11156,1129,12,9.5
18896,128,6373,8,11156,1129,12,12.5
18897,128,6373,8,11156,1129,12,92.7
