Soil NOx emissions calculated according to an implementation of Yienger and Levy 1995
Tsoil, soil wetness, soil NO emission flux and canopy top flux (when) using CRF
Soil NO emission fluxes are calculated for Yienger and Levy emission class: Agric.-land              
Implying a wet soil NO emission factor:   0.36 [ngN m-2 s-1] and a dry soil NO emission factor:   0.36
     istep       ldatltime          Tsoil             ws      NO_slflux      NO_emflux
         # dd-mm-yy hh:min              K              m  molec m-2 s-1 molec. m-2 s-1
       194  28-06-12 12:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       195  28-06-12 12:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       196  28-06-12 13:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       197  28-06-12 13:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       198  28-06-12 14:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       199  28-06-12 14:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       200  28-06-12 15:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       201  28-06-12 15:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       202  28-06-12 16:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       203  28-06-12 16:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       204  28-06-12 17:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       205  28-06-12 17:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       206  28-06-12 18:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       207  28-06-12 18:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       208  28-06-12 19:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       209  28-06-12 19:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       210  28-06-12 20:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       211  28-06-12 20:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       212  28-06-12 21:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       213  28-06-12 21:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       214  28-06-12 22:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       215  28-06-12 22:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       216  28-06-12 23:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       217  28-06-12 23:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       218  29-06-12 00:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       219  29-06-12 00:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       220  29-06-12 01:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       221  29-06-12 01:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       222  29-06-12 02:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       223  29-06-12 02:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       224  29-06-12 03:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       225  29-06-12 03:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       226  29-06-12 04:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       227  29-06-12 04:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       228  29-06-12 05:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       229  29-06-12 05:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       230  29-06-12 06:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       231  29-06-12 06:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       232  29-06-12 07:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       233  29-06-12 07:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       234  29-06-12 08:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       235  29-06-12 08:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       236  29-06-12 09:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       237  29-06-12 09:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       238  29-06-12 10:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       239  29-06-12 10:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       240  29-06-12 11:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       241  29-06-12 11:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       242  29-06-12 12:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       243  29-06-12 12:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       244  29-06-12 13:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       245  29-06-12 13:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       246  29-06-12 14:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       247  29-06-12 14:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       248  29-06-12 15:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       249  29-06-12 15:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       250  29-06-12 16:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       251  29-06-12 16:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       252  29-06-12 17:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       253  29-06-12 17:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       254  29-06-12 18:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       255  29-06-12 18:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       256  29-06-12 19:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       257  29-06-12 19:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       258  29-06-12 20:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       259  29-06-12 20:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       260  29-06-12 21:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       261  29-06-12 21:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       262  29-06-12 22:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       263  29-06-12 22:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       264  29-06-12 23:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       265  29-06-12 23:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       266  30-06-12 00:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       267  30-06-12 00:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       268  30-06-12 01:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       269  30-06-12 01:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       270  30-06-12 02:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       271  30-06-12 02:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       272  30-06-12 03:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       273  30-06-12 03:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       274  30-06-12 04:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       275  30-06-12 04:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       276  30-06-12 05:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       277  30-06-12 05:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       278  30-06-12 06:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       279  30-06-12 06:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       280  30-06-12 07:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       281  30-06-12 07:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       282  30-06-12 08:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       283  30-06-12 08:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       284  30-06-12 09:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       285  30-06-12 09:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       286  30-06-12 10:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
